age,annual_income,credit_score,loan_amount,debt_to_income_ratio,employment_length_years,num_credit_accounts,num_late_payments,education_level,marital_status,employment_type,housing_status,loan_purpose,data_date
22,54372.95,605,216668.07,0.497,2,9,1,大學,單身,全職,租賃,其他,2024-10-01 00:00:00
37,20000.0,734,233574.72,0.535,4,7,4,大學,單身,全職,與家人同住,債務整合,2024-10-01 01:00:00
18,115632.9,709,97069.55,0.613,8,10,3,高中,單身,全職,租賃,購車,2024-10-01 02:00:00
30,31507.48,745,200211.24,0.43,7,8,4,研究所,單身,全職,與家人同住,教育,2024-10-01 03:00:00
18,106544.49,661,209518.21,0.322,9,13,1,研究所,已婚,全職,自有,教育,2024-10-01 04:00:00
26,54338.1,734,275983.14,0.332,1,9,1,大學,已婚,全職,自有,債務整合,2024-10-01 05:00:00
33,84524.38,650,157870.34,0.384,7,4,2,專科,已婚,全職,自有,購屋,2024-10-01 06:00:00
24,90365.36,666,254077.51,0.192,8,5,2,研究所,離婚,全職,與家人同住,教育,2024-10-01 07:00:00
18,116385.28,777,188873.69,0.324,9,9,1,研究所,單身,全職,自有,購屋,2024-10-01 08:00:00
30,47901.67,762,163533.24,0.239,2,4,2,專科,單身,兼職,自有,購屋,2024-10-01 09:00:00
51,74015.53,692,139161.38,0.183,6,8,2,研究所,離婚,全職,自有,教育,2024-10-01 10:00:00
20,50900.03,647,207307.61,0.176,6,7,3,高中,已婚,全職,自有,債務整合,2024-10-01 11:00:00
21,48894.82,668,115760.67,0.217,6,9,3,高中,已婚,全職,租賃,購車,2024-10-01 12:00:00
27,77331.43,686,119915.54,0.075,6,8,1,大學,已婚,全職,自有,購車,2024-10-01 13:00:00
49,96005.27,652,213274.38,0.246,4,5,1,研究所,單身,自僱,自有,債務整合,2024-10-01 14:00:00
18,137152.42,721,281605.1,0.047,9,12,3,研究所,已婚,全職,與家人同住,購屋,2024-10-01 15:00:00
20,69498.99,634,101971.23,0.206,3,8,0,研究所,單身,兼職,自有,教育,2024-10-01 16:00:00
38,73246.62,799,139717.93,0.55,9,6,6,大學,單身,全職,與家人同住,購屋,2024-10-01 17:00:00
18,74871.59,516,196114.04,0.466,5,8,2,研究所,已婚,全職,與家人同住,購屋,2024-10-01 18:00:00
19,79088.4,624,149608.5,0.366,1,9,2,大學,單身,全職,租賃,教育,2024-10-01 19:00:00
51,81294.51,736,76588.49,0.313,6,7,3,高中,單身,兼職,自有,購車,2024-10-01 20:00:00
50,46117.83,801,132980.84,0.248,7,5,1,高中,單身,全職,自有,購屋,2024-10-01 21:00:00
37,20000.0,627,206929.57,0.263,10,7,1,研究所,單身,全職,自有,購車,2024-10-01 22:00:00
33,68250.74,656,164594.96,0.095,3,10,1,大學,已婚,全職,租賃,債務整合,2024-10-01 23:00:00
22,124018.31,708,200184.63,0.547,5,6,2,研究所,單身,全職,自有,購車,2024-10-02 00:00:00
30,76816.65,714,104972.15,0.222,5,5,0,專科,離婚,全職,自有,購車,2024-10-02 01:00:00
20,71681.64,685,198481.52,0.34,4,12,1,大學,單身,全職,租賃,購屋,2024-10-02 02:00:00
48,74450.56,737,64771.55,0.028,5,11,1,專科,已婚,全職,租賃,購車,2024-10-02 03:00:00
31,57527.35,698,222975.66,0.034,7,7,5,研究所,單身,自僱,租賃,購屋,2024-10-02 04:00:00
28,72515.21,700,255229.7,0.218,6,4,1,專科,單身,退休,租賃,債務整合,2024-10-02 05:00:00
30,76131.71,800,103374.87,0.3,6,12,4,研究所,已婚,全職,租賃,購屋,2024-10-02 06:00:00
22,76000.32,661,148544.48,0.007,7,7,2,專科,單身,全職,自有,債務整合,2024-10-02 07:00:00
36,77788.78,655,98467.27,0.248,2,3,5,研究所,已婚,全職,與家人同住,購車,2024-10-02 08:00:00
27,77568.71,650,185049.28,0.397,3,9,4,大學,已婚,全職,與家人同住,債務整合,2024-10-02 09:00:00
64,73447.34,627,188408.56,0.145,4,9,1,大學,離婚,兼職,自有,購車,2024-10-02 10:00:00
24,103390.31,658,106411.01,0.339,6,11,0,大學,離婚,全職,自有,購屋,2024-10-02 11:00:00
40,122357.73,652,148157.81,0.21,5,7,1,大學,已婚,全職,與家人同住,購車,2024-10-02 12:00:00
52,32768.29,711,239213.4,0.402,5,13,3,高中,單身,全職,租賃,購屋,2024-10-02 13:00:00
18,61101.95,713,210601.02,0.338,6,10,3,研究所,單身,全職,自有,購車,2024-10-02 14:00:00
24,20000.0,694,190756.61,0.163,4,10,3,研究所,單身,退休,租賃,購車,2024-10-02 15:00:00
48,87451.94,706,240369.1,0.205,9,7,1,大學,單身,自僱,租賃,購車,2024-10-02 16:00:00
18,106174.06,754,279300.4,0.275,5,11,2,研究所,離婚,全職,自有,購車,2024-10-02 17:00:00
44,77787.2,592,187595.22,0.337,5,5,2,研究所,單身,全職,租賃,購屋,2024-10-02 18:00:00
33,78052.82,696,196894.68,0.366,9,12,1,專科,已婚,全職,自有,購屋,2024-10-02 19:00:00
48,60588.77,803,164444.17,0.058,7,5,4,研究所,離婚,兼職,與家人同住,教育,2024-10-02 20:00:00
26,79697.49,632,189377.27,0.225,3,10,4,高中,單身,全職,自有,教育,2024-10-02 21:00:00
33,73127.42,850,141215.75,0.526,5,9,0,大學,已婚,全職,與家人同住,購屋,2024-10-02 22:00:00
