age,annual_income,credit_score,loan_amount,debt_to_income_ratio,employment_length_years,num_credit_accounts,num_late_payments,education_level,marital_status,employment_type,housing_status,loan_purpose,data_date
39,46496.43,628,94295.93,0.307,6,13,1,大學,已婚,全職,租賃,購車,2024-01-01 00:00:00
33,57109.63,678,118453.46,0.395,4,11,1,專科,已婚,兼職,租賃,購屋,2024-01-01 01:00:00
41,44151.6,681,102896.99,0.151,6,6,2,大學,已婚,全職,租賃,購車,2024-01-01 02:00:00
50,53840.77,708,122600.21,0.251,7,6,1,專科,已婚,全職,租賃,購屋,2024-01-01 03:00:00
32,22127.71,597,139292.48,0.215,5,9,1,大學,離婚,全職,自有,購屋,2024-01-01 04:00:00
32,64265.87,715,191857.72,0.465,4,6,1,專科,已婚,全職,與家人同住,購屋,2024-01-01 05:00:00
50,78031.34,517,133942.05,0.08,6,11,5,研究所,單身,全職,自有,購屋,2024-01-01 06:00:00
42,43658.23,642,70718.71,0.109,5,8,1,高中,單身,全職,自有,購屋,2024-01-01 07:00:00
30,73184.91,650,207003.39,0.12,5,10,1,高中,單身,全職,租賃,購屋,2024-01-01 08:00:00
40,78751.4,717,108145.49,0.11,1,7,0,大學,單身,全職,自有,購車,2024-01-01 09:00:00
30,27848.8,681,147063.98,0.12,6,4,2,專科,已婚,全職,自有,購屋,2024-01-01 10:00:00
30,44745.5,595,172326.83,0.249,4,10,0,大學,已婚,全職,與家人同住,購屋,2024-01-01 11:00:00
37,58002.3,620,159980.52,0.329,4,11,1,研究所,單身,全職,自有,購車,2024-01-01 12:00:00
18,41201.94,691,204708.98,0.092,2,14,3,大學,已婚,全職,租賃,購屋,2024-01-01 13:00:00
18,76589.5,675,173950.16,0.242,5,9,2,大學,已婚,兼職,與家人同住,購屋,2024-01-01 14:00:00
29,56123.48,645,106934.52,0.303,4,4,1,高中,已婚,兼職,與家人同住,購車,2024-01-01 15:00:00
24,54709.7,651,258928.11,0.403,9,10,2,大學,已婚,全職,自有,購車,2024-01-01 16:00:00
38,20000.0,721,159716.67,0.051,4,4,1,專科,離婚,全職,自有,債務整合,2024-01-01 17:00:00
25,72708.36,648,142632.99,0.345,0,9,1,大學,已婚,全職,租賃,購屋,2024-01-01 18:00:00
20,35214.83,674,198196.27,0.304,11,4,1,大學,已婚,全職,自有,購車,2024-01-01 19:00:00
49,61198.65,810,162472.55,0.239,8,9,0,大學,已婚,全職,租賃,購屋,2024-01-01 20:00:00
32,85211.8,594,169961.41,0.171,7,3,0,研究所,已婚,全職,租賃,購屋,2024-01-01 21:00:00
35,87213.17,593,274609.2,0.108,6,11,0,大學,已婚,全職,租賃,購屋,2024-01-01 22:00:00
20,33823.59,727,136243.93,0.072,3,7,1,大學,已婚,自僱,租賃,購車,2024-01-01 23:00:00
29,20000.0,639,134111.96,0.388,5,4,1,大學,已婚,兼職,與家人同住,購屋,2024-01-02 00:00:00
36,63676.99,660,155828.93,0.087,6,8,1,專科,離婚,兼職,自有,教育,2024-01-02 01:00:00
23,96010.22,657,203575.8,0.117,3,6,2,高中,單身,兼職,租賃,債務整合,2024-01-02 02:00:00
38,84778.93,683,74673.3,0.322,5,5,1,高中,已婚,全職,自有,購屋,2024-01-02 03:00:00
